country,LocCode,time_period,dpt,measles,tetanus,co2_metric_tons_per_capita,sf6_metric_tons,nitrous_oxide_metric_tons,hfc_metric_tons,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",life_expectancy_total,life_expectancy_female,life_expectancy_male,alcohol,tobacco,working_hours,bmi_over30,pm2_5,polio,bcg,hepb
Czechia,CZE,2004,98,97,0,12.1054015686817,0,5190,0,0,75.7219512195122,79,72.6,13.42 ,0.0,0.0,21 ,0,0.0,99.0,98.0
Denmark,DNK,2004,95,96,0,9.94167284369708,0,5540,0,0,77.4926829268293,79.9,75.2,11.26 ,0.0,1413.8545663273,14.1 ,0,0.0,0.0,0.0
Estonia,EST,2004,94,96,0,12.4912850594574,0,1250,0,0,71.909756097561,77.8,66.3,15.52 ,0.0,1861.0,15.7 ,0,0.0,99.0,90.0
Finland,FIN,2004,98,97,0,12.9452512857603,0,6230,0,0,78.7146341463415,82.3,75.3,9.89 ,0.0,1554.0,17.3 ,0,0.0,98.0,0.0
France,FRA,2004,98,88,0,6.02379241763573,0,44690,0,0,80.1634146341463,83.8,76.7,13.14 ,0.0,1424.89645330535,16.5 ,0,0.0,85.0,35.0
Germany,DEU,2004,96,96,0,9.95040259124952,0,46230,0,0,78.6804878048781,81.6,75.9,11.83 ,0.0,1358.57129426512,16.9 ,0,0.0,0.0,88.0
Greece,GRC,2004,95,95,0,9.11352910363185,0,5840,0,0,79.0390243902439,81.6,76.6,9.1 ,0.0,1748.71794373342,17.9 ,0,0.0,0.0,92.0
Hungary,HUN,2004,99,99,0,5.57526313304677,0,7240,0,0,72.6487804878049,76.9,68.6,13.28 ,0.0,1746.28067400249,20.7 ,0,0.0,99.0,0.0
Iceland,ISL,2004,99,93,0,7.94319225005581,0,350,0,0,80.9975609756098,83.2,78.9,6.71 ,0.0,1645.0,16.7 ,0,0.0,0.0,0.0
Ireland,IRL,2004,89,81,0,10.9796368456647,0,9760,0,0,78.5390243902439,81.1,76.1,13.11 ,0.0,1816.50706054212,17.6 ,0,0.0,30.0,0.0
Italy,ITA,2004,94,86,0,8.18925745010484,0,27020,0,0,80.7804878048781,83.7,78,8.98 ,0.0,1814.6,15.5 ,0,0.0,0.0,96.0
Latvia,LVA,2004,99,98,0,3.36703009628252,0,1550,0,0,72.0268292682927,77.2,67.1,8.81 ,0.0,1782.16945107929,16.5 ,0,0.0,98.0,98.0
Lithuania,LTU,2004,94,98,0,3.52672056362743,0,5320,0,0,71.9609756097561,77.8,66.4,12.1 ,0.0,1665.02915455543,18.8 ,0,0.0,99.0,94.0
Luxembourg,LUX,2004,99,95,0,25.4532353494627,0,380,0,0,79.1219512195122,82.4,76,12.34 ,0.0,1584.97568237858,16.9 ,0,0.0,0.0,94.0
Malta,MLT,2004,89,94,0,6.47945987378154,0,60,0,0,79.2536585365854,81.2,77.4,6.61 ,0.0,0.0,23.2 ,0,0.0,0.0,85.0
Netherlands,NLD,2004,98,96,0,10.5713260889481,0,13630,0,0,79.0951219512195,81.4,76.9,9.57 ,0.0,1397.0,14 ,0,0.0,0.0,0.0
North Macedonia,MKD,2004,94,96,0,4.34922941524901,0,610,0,0,73.5975609756098,75.8,71.5,0,0.0,0.0,0,0,0.0,0.0,0.0
Norway,NOR,2004,92,89,0,8.13169250978087,0,4860,0,0,79.8414634146342,82.3,77.5,6.22 ,0.0,1423.1,17.1 ,0,0.0,0.0,0.0
Poland,POL,2004,99,97,0,7.90551178775075,0,23040,0,0,74.8463414634146,79.2,70.7,9.19 ,0.0,1767.92688094357,17.8 ,0,0.0,94.0,98.0
Portugal,PRT,2004,95,95,0,5.92625189022586,0,3940,0,0,77.6707317073171,81,74.5,12.26 ,0.0,1702.2663996309,13.9 ,0,0.0,83.0,94.0
Romania,ROU,2004,97,97,0,4.44485915432724,0,11050,0,0,71.5609756097561,75.3,68,11.77 ,0.0,0.0,16.7 ,0,0.0,99.0,99.0
Serbia,SRB,2004,88,89,0,7.55042383191471,0,5220,0,0,72.6829268292683,75.5,70,0,0.0,0.0,15.4 ,0,0.0,97.0,89.0
Slovak Republic,SVK,2004,99,99,0,6.96724673791683,0,2970,0,0,73.9585365853659,77.8,70.3,0,0.0,1657.51325703934,0,0,0.0,0.0,0.0
Slovenia,SVN,2004,94,94,0,7.86174535218872,0,820,0,0,77.2073170731707,81.1,73.5,10.01 ,0.0,1665.0,14.5 ,0,0.0,96.0,0.0
Spain,ESP,2004,97,97,0,7.81792130935957,0,23290,0,0,79.8707317073171,83.2,76.7,11.32 ,0.0,1692.0,19 ,0,0.0,0.0,97.0
Sweden,SWE,2004,99,96,0,5.95872746228238,0,5540,0,0,80.4975609756098,82.7,78.4,6.51 ,0.0,1452.61239911565,14.9 ,0,0.0,18.0,0.0
Switzerland,CHE,2004,93,82,0,6.1275096881502,0,2490,0,0,81.0878048780488,83.7,78.6,10.54 ,0.0,1695.0,13.8 ,0,0.0,0.0,0.0
Turkiye,TUR,2004,85,81,77,3.31341384668404,0,24970,0,0,73.24,76.564,69.996,0,0.0,0.0,0,0,0.0,0.0,0.0
United Kingdom,GBR,2004,92,81,0,9.05315858404864,0,33130,0,0,78.7463414634146,81,76.6,0,0.0,1491.28789068089,0,0,0.0,0.0,0.0
Albania,ALB,2005,98,97,86,1.33820939947885,0,1270,61.8,7.65,76.621,79.493,74.033,4.98 ,31.3,0.0,14.3 ,0,97.0,98.0,98.0
Austria,AUT,2005,86,75,0,9.26611355969716,169,3970,1891.2,12.79,79.3317073170732,82.2,76.6,12.14 ,40.4,1518.0,15 ,0,86.0,0.0,86.0
Belgium,BEL,2005,97,88,0,10.5557823718867,72.9,7160,1882.6,13.13,78.9804878048781,81.9,76.2,12.21 ,25.9,1455.0,18.3 ,0,97.0,0.0,77.0
Bulgaria,BGR,2005,96,96,0,6.2658541744854,0,3960,361.6,11.42,72.5609756097561,76.3,69,10.22 ,36.1,0.0,19.5 ,0,97.0,98.0,96.0
Croatia,HRV,2005,96,96,0,4.97663089361019,0,2490,47.5,10.31,75.2446341463415,78.83,71.83,10.72 ,29.2,0.0,18 ,0,96.0,98.0,0.0
Cyprus,CYP,2005,98,86,0,7.61767386652623,0,360,188.3,12.43,78.101,80.287,75.953,11.41 ,21.6,0.0,17.2 ,0,98.0,0.0,88.0
Czechia,CZE,2005,97,97,0,11.7508040045152,5.6,5090,1078.7,14.76,75.9243902439025,79.1,72.9,13.66 ,28.0,0.0,21.4 ,0,96.0,99.0,99.0
Denmark,DNK,2005,93,95,0,9.26296349191935,31.5,5430,1249.5,12.29,77.8439024390244,80.2,75.6,11.26 ,28.6,1412.57786319256,14.3 ,0,93.0,0.0,0.0
Estonia,EST,2005,96,96,0,12.7179786623139,2.2,1230,33.8,15.65,72.5682926829268,78.1,67.3,16.58 ,28.2,1888.0,16 ,0,96.0,99.0,95.0
Finland,FIN,2005,97,97,0,10.5716706450802,50.9,6440,754.9,13.11,78.8170731707317,82.3,75.5,9.95 ,22.2,1543.0,17.6 ,0,97.0,98.0,0.0
France,FRA,2005,98,87,0,6.02420750933948,1609.4,43510,12734.7,13.09,80.1634146341463,83.8,76.7,12.88 ,30.5,1427.27795393858,16.9 ,0,98.0,81.0,35.0
Germany,DEU,2005,96,96,0,9.7294243784419,5443.2,44480,14684.6,13.28,78.9317073170732,81.8,76.2,11.68 ,28.3,1348.95525336387,17.2 ,0,95.0,0.0,90.0
Greece,GRC,2005,96,96,0,9.27888262301796,108.1,5680,1911.4,10.73,79.2390243902439,81.8,76.8,9.15 ,40.0,1840.02881736457,18.4 ,0,96.0,0.0,93.0
Hungary,HUN,2005,99,99,0,5.54373330289289,30,6940,1191.4,14.56,72.6487804878049,76.9,68.6,12.95 ,30.5,1734.28957473815,21 ,0,99.0,99.0,0.0
Iceland,ISL,2005,95,90,0,7.71734941682797,3.5,350,46.6,7.74,81.5024390243902,83.5,79.6,7.05 ,22.4,1637.0,16.9 ,0,95.0,0.0,0.0
Ireland,IRL,2005,90,84,0,11.2141745059823,61.8,9510,859.7,14.2,78.9439024390244,81.3,76.7,13.06 ,30.9,1828.84280279789,18.2 ,0,90.0,31.0,0.0
Italy,ITA,2005,95,87,0,8.17378306441827,877.2,25700,9114.5,9.41,80.7829268292683,83.6,78.1,8.65 ,19.6,1811.1,15.9 ,0,97.0,0.0,96.0
Latvia,LVA,2005,99,98,0,3.44381073876975,0,1580,876.6,11.96,71.3560975609756,77.4,65.6,9.92 ,25.7,1813.22021043951,16.9 ,0,99.0,97.0,99.0
Lithuania,LTU,2005,94,97,0,3.86151747214955,0,5570,642.1,16.1,71.2536585365854,77.4,65.4,12.42 ,24.1,1667.18982935941,19.2 ,0,93.0,99.0,95.0
Luxembourg,LUX,2005,99,95,0,25.6042029749292,0,370,99.5,13.58,79.4317073170732,82.3,76.7,12.31 ,23.8,1564.85131276551,17.3 ,0,99.0,0.0,95.0
Malta,MLT,2005,92,86,0,6.51257723332092,0,60,114.2,6.65,79.3,81.4,77.3,6.14 ,25.3,0.0,23.7 ,0,94.0,0.0,85.0
Netherlands,NLD,2005,96,95,0,10.2899112098076,126.9,13590,3119.5,10.71,79.3463414634146,81.6,77.2,9.5 ,28.2,1378.0,14.6 ,0,96.0,0.0,0.0
North Macedonia,MKD,2005,97,96,0,4.5314956352987,0,600,119.1,7.03,73.6975609756098,75.9,71.6,0,0.0,0.0,0,0,0.0,0.0,0.0
Norway,NOR,2005,91,90,0,7.86236437942606,331.4,4960,319,8.87,80.0414634146342,82.5,77.7,6.37 ,33.5,1428.5,17.6 ,0,91.0,0.0,0.0
Poland,POL,2005,99,98,0,7.8958860850048,218.5,23850,1736.7,10.6,74.9951219512195,79.4,70.8,9.07 ,29.6,1763.64304389358,18.2 ,0,99.0,94.0,98.0
Portugal,PRT,2005,93,93,0,6.23326137717306,103.8,3770,647.7,13.37,78.0707317073171,81.4,74.9,11.97 ,16.1,1703.89608274036,14.4 ,0,93.0,89.0,94.0
Romania,ROU,2005,97,97,0,4.4423732848057,2.2,11130,418.8,15.84,71.9121951219512,75.6,68.4,9.63 ,22.5,0.0,17.2 ,0,97.0,98.0,98.0
Serbia,SRB,2005,98,96,0,6.81246772030001,0,4950,4293.8,0,72.8341463414634,75.6,70.2,0,39.3,0.0,15.9 ,0,98.0,98.0,65.0
Slovak Republic,SVK,2005,99,98,0,7.16943684330438,0,2840,319.7,12.06,73.9048780487805,77.9,70.1,0,0.0,1689.60683039949,0,0,0.0,0.0,0.0
Slovenia,SVN,2005,95,94,0,7.95811396513721,2.2,820,356.4,12.3,77.6121951219512,81.3,74.1,11.19 ,22.1,1626.0,14.8 ,0,95.0,0.0,0.0
Spain,ESP,2005,96,97,0,8.02920201300456,743.8,21920,6300.3,12.83,80.1707317073171,83.5,77,11.92 ,28.5,1675.0,19.5 ,0,96.0,0.0,96.0
Sweden,SWE,2005,98,96,0,5.56061783265837,214.2,5420,1131.9,8.64,80.5463414634146,82.8,78.4,6.53 ,32.3,1451.47568511689,15.1 ,0,98.0,20.0,0.0
Switzerland,CHE,2005,94,87,0,6.16502480788869,348.7,2540,1613.8,11.64,81.2365853658537,83.9,78.7,10.15 ,23.5,1690.0,14.1 ,0,94.0,0.0,0.0
Turkiye,TUR,2005,90,91,62,3.42043482750784,1602.2,25380,2893.2,2.12,73.534,76.867,70.278,0,0.0,0.0,0,0,0.0,0.0,0.0
United Kingdom,GBR,2005,91,82,0,8.95545004366562,554.2,31970,9043.4,13.89,79.0487804878049,81.2,77,0,0.0,1500.34835446828,0,0,0.0,0.0,0.0
Albania,ALB,2006,97,95,87,1.33999573904164,0,1210,0,0,76.816,79.686,74.243,5.17 ,0.0,0.0,14.9 ,0,97.0,97.0,98.0
Austria,AUT,2006,83,80,0,8.96156919548461,0,3960,0,0,79.8804878048781,82.8,77.1,12.58 ,0.0,1505.0,15.2 ,0,83.0,0.0,83.0
Belgium,BEL,2006,98,92,0,10.3005720657855,0,6150,0,0,79.380487804878,82.3,76.6,10.94 ,0.0,1463.0,18.7 ,0,99.0,0.0,94.0
Bulgaria,BGR,2006,95,96,0,6.43992357382198,0,3230,0,0,72.6121951219512,76.3,69.1,10.18 ,0.0,0.0,20 ,0,96.0,98.0,96.0
Croatia,HRV,2006,96,95,0,5.01257332665105,0,2920,0,0,75.8368292682927,79.33,72.51,10.98 ,0.0,0.0,18.5 ,0,96.0,99.0,0.0
Cyprus,CYP,2006,97,87,0,7.5797915178343,0,360,0,0,78.371,80.522,76.255,11.48 ,0.0,0.0,17.6 ,0,97.0,0.0,93.0
Czechia,CZE,2006,98,97,0,11.7786031293504,0,4960,0,0,76.5243902439024,79.7,73.5,13.58 ,0.0,0.0,21.8 ,0,98.0,99.0,98.0
Denmark,DNK,2006,93,90,0,10.6910231947409,0,5380,0,0,78.0951219512195,80.4,75.9,11.02 ,0.0,1418.42307484824,14.6 ,0,93.0,0.0,0.0
Estonia,EST,2006,95,96,0,11.8650734270137,0,1230,0,0,72.6914634146341,78.3,67.35,17.87 ,0.0,1879.0,16.4 ,0,95.0,99.0,95.0
Finland,FIN,2006,97,97,0,12.7262791493077,0,6120,0,0,79.2146341463415,82.8,75.8,10.15 ,0.0,1540.0,17.9 ,0,97.0,98.0,0.0
France,FRA,2006,99,89,0,5.83938617767613,0,42710,0,0,80.8121951219512,84.5,77.3,13.05 ,0.0,1411.61689919921,17.4 ,0,99.0,83.0,39.0
Germany,DEU,2006,96,96,0,9.88644161356904,0,43050,0,0,79.1317073170732,82,76.4,11.76 ,0.0,1374.21621775363,17.5 ,0,94.0,0.0,87.0
Greece,GRC,2006,98,98,0,9.13763059219307,0,5370,0,0,79.4390243902439,82,77,8.68 ,0.0,1829.1472169598,18.8 ,0,98.0,0.0,94.0
Hungary,HUN,2006,99,99,0,5.50669860053525,0,6720,0,0,73.0975609756098,77.4,69,13.25 ,0.0,1716.58075887771,21.3 ,0,99.0,99.0,0.0
Iceland,ISL,2006,97,95,0,7.66997361168881,0,380,0,0,81.1585365853659,82.9,79.5,7.2 ,0.0,1627.0,17.2 ,0,97.0,0.0,0.0
Ireland,IRL,2006,91,86,0,11.0586151837022,0,9350,0,0,79.2414634146342,81.7,76.9,13.12 ,0.0,1824.7608796835,18.8 ,0,91.0,31.0,0.0
Italy,ITA,2006,96,88,0,8.02576641506568,0,20670,0,0,81.2829268292683,84.1,78.6,8.44 ,0.0,1811.9,16.3 ,0,97.0,0.0,96.0
Latvia,LVA,2006,96,98,0,3.69642929846961,0,1600,0,0,70.8658536585366,76.5,65.5,10.4 ,0.0,1792.7568423645,17.3 ,0,96.0,95.0,94.0
Lithuania,LTU,2006,94,97,0,3.98176232358873,0,5520,0,0,71.0560975609756,77.1,65.3,13.34 ,0.0,1657.07908484016,19.6 ,0,94.0,99.0,95.0
Luxembourg,LUX,2006,99,95,0,24.7970435387598,0,370,0,0,79.2878048780488,81.9,76.8,12.5 ,0.0,1563.67832237997,17.6 ,0,99.0,0.0,95.0
Malta,MLT,2006,85,94,0,6.53823782251382,0,60,0,0,79.4390243902439,82,77,8.25 ,0.0,0.0,24.2 ,0,83.0,0.0,86.0
Netherlands,NLD,2006,96,96,0,10.0146204252771,0,13540,0,0,79.6975609756098,81.9,77.6,9.58 ,0.0,1370.0,15.1 ,0,96.0,0.0,0.0
North Macedonia,MKD,2006,93,94,0,4.5191028978275,0,590,0,0,73.8951219512195,76.2,71.7,0,0.0,0.0,0,0,0.0,0.0,0.0
Norway,NOR,2006,94,92,0,7.98167321248383,0,4620,0,0,80.3439024390244,82.7,78.1,6.47 ,0.0,1426.4,18.1 ,0,94.0,0.0,0.0
Poland,POL,2006,99,99,0,8.23491249878749,0,24200,0,0,75.1439024390244,79.6,70.9,9.74 ,0.0,1763.69884233251,18.7 ,0,99.0,94.0,98.0
Portugal,PRT,2006,97,97,0,5.74494831950423,0,3620,0,0,78.419512195122,81.8,75.2,11.81 ,0.0,1700.33389547711,14.9 ,0,97.0,99.0,97.0
Romania,ROU,2006,97,95,0,4.68345409857574,0,10110,0,0,72.1634146341463,75.8,68.7,9.89 ,0.0,0.0,17.7 ,0,97.0,99.0,99.0
Serbia,SRB,2006,92,88,0,7.15233148629301,0,4700,0,0,73.3853658536585,76.1,70.8,8.82 ,0.0,0.0,16.3 ,0,97.0,99.0,93.0
Slovak Republic,SVK,2006,99,98,0,7.04813294857725,0,3170,0,0,74.2048780487805,78.2,70.4,0,0.0,1690.00429557011,0,0,0.0,0.0,0.0
Slovenia,SVN,2006,97,96,0,8.11712624623408,0,820,0,0,78.0865853658537,81.8,74.55,12.26 ,0.0,1604.0,15.2 ,0,97.0,0.0,0.0
Spain,ESP,2006,98,97,0,7.69821256052189,0,22280,0,0,80.8219512195122,84.1,77.7,11.86 ,0.0,1663.0,19.9 ,0,98.0,0.0,97.0
Sweden,SWE,2006,98,97,0,5.38516321789139,0,5390,0,0,80.7487804878049,82.9,78.7,6.81 ,0.0,1450.11726826222,15.4 ,0,98.0,21.0,0.0
Switzerland,CHE,2006,94,87,0,6.07701772119266,0,2560,0,0,81.490243902439,84,79.1,10.24 ,0.0,1679.2,14.3 ,0,94.0,0.0,0.0
Turkiye,TUR,2006,90,98,68,3.75107739060495,0,26900,0,0,73.845,77.124,70.624,0,0.0,0.0,0,0,0.0,0.0,0.0
United Kingdom,GBR,2006,92,85,0,8.90860027785501,0,30910,0,0,79.2487804878049,81.4,77.2,0,0.0,1494.2283266653,0,0,0.0,0.0,0.0
Albania,ALB,2007,98,97,87,1.3939313702533,0,1200,0,0,77.549,80.247,75.1,5.46 ,0.0,0.0,15.5 ,0,99.0,98.0,98.0
Austria,AUT,2007,85,79,0,8.58780176061628,0,3870,0,0,80.1804878048781,83.1,77.4,12.54 ,0.0,1502.0,15.5 ,0,85.0,0.0,85.0
Belgium,BEL,2007,98,92,0,9.84311587357925,0,5520,0,0,79.7829268292683,82.6,77.1,13.43 ,0.0,1465.0,19.1 ,0,99.0,0.0,94.0
Bulgaria,BGR,2007,95,96,0,6.97119181064137,0,3590,0,0,72.6634146341463,76.3,69.2,10.66 ,0.0,0.0,20.5 ,0,95.0,98.0,95.0
Croatia,HRV,2007,96,96,0,5.30831722875359,0,3080,0,0,75.7056097560976,79.25,72.33,11.36 ,0.0,0.0,19 ,0,96.0,99.0,94.0
Cyprus,CYP,2007,97,87,0,7.73834561406861,0,370,0,0,78.81,81.006,76.656,11.58 ,0.0,0.0,18 ,0,97.0,0.0,93.0
Czechia,CZE,2007,99,98,0,12.0033078275103,0,4990,0,0,76.7243902439025,79.9,73.7,13.83 ,0.0,0.0,22.2 ,0,99.0,99.0,99.0
Denmark,DNK,2007,87,89,0,9.77947563396529,0,5350,0,0,78.1951219512195,80.5,76,10.99 ,0.0,1400.64329416077,14.8 ,0,87.0,0.0,0.0
Estonia,EST,2007,95,96,0,14.9028847616406,0,1280,0,0,72.8146341463415,78.5,67.4,17.47 ,0.0,1880.0,16.8 ,0,95.0,98.0,95.0
Finland,FIN,2007,99,98,0,12.3092163083168,0,6310,0,0,79.2634146341464,82.9,75.8,10.45 ,0.0,1539.0,18.1 ,0,97.0,0.0,0.0
France,FRA,2007,99,90,0,5.66729369701834,0,43790,0,0,81.1121951219512,84.8,77.6,12.95 ,0.0,1434.89470473402,17.8 ,0,99.0,78.0,42.0
Germany,DEU,2007,96,97,0,9.52758665221032,0,46710,0,0,79.5341463414634,82.3,76.9,11.51 ,0.0,1377.20157528699,17.7 ,0,95.0,0.0,86.0
Greece,GRC,2007,99,99,0,9.44112345286032,0,5240,0,0,79.4390243902439,82,77,8.89 ,0.0,1832.03207459445,19.3 ,0,99.0,0.0,95.0
Hungary,HUN,2007,99,99,0,5.35512893819486,0,6190,0,0,73.1512195121951,77.3,69.2,12.54 ,0.0,1695.25403516402,21.6 ,0,99.0,99.0,0.0
Iceland,ISL,2007,97,95,0,7.63883130521597,0,390,0,0,81.4536585365854,83.4,79.6,7.53 ,0.0,1605.0,17.4 ,0,97.0,0.0,0.0
Ireland,IRL,2007,92,87,0,10.5388979009843,0,9180,0,0,79.6414634146341,82.1,77.3,13.17 ,0.0,1811.04002246875,19.4 ,0,92.0,33.0,0.0
Italy,ITA,2007,97,90,0,7.86076796398096,0,20100,0,0,81.4341463414634,84.2,78.8,8.37 ,0.0,1817.7,16.6 ,0,97.0,0.0,97.0
Latvia,LVA,2007,94,95,0,3.87669991159087,0,1660,0,0,71.019512195122,76.5,65.8,12.12 ,0.0,1760.41332639318,17.7 ,0,94.0,95.0,91.0
Lithuania,LTU,2007,95,97,0,4.08814550398292,0,6300,0,0,70.9,77.2,64.9,13.79 ,0.0,1678.69747384392,20.1 ,0,95.0,99.0,96.0
Luxembourg,LUX,2007,99,96,0,23.1461701663924,0,370,0,0,79.3829268292683,82.2,76.7,12.27 ,0.0,1574.17099058867,17.9 ,0,96.0,0.0,87.0
Malta,MLT,2007,74,79,0,6.68758182111267,0,60,0,0,79.7926829268293,82.2,77.5,7.47 ,0.0,0.0,24.7 ,0,76.0,0.0,82.0
Netherlands,NLD,2007,97,96,0,10.0447476898459,0,12120,0,0,80.0975609756098,82.3,78,9.45 ,0.0,1366.0,15.7 ,0,97.0,0.0,0.0
North Macedonia,MKD,2007,95,96,0,4.74662087527942,0,590,0,0,73.8,75.9,71.8,0,0.0,0.0,0,0,0.0,0.0,0.0
Norway,NOR,2007,93,92,0,8.01630356881588,0,4410,0,0,80.3951219512195,82.7,78.2,6.6 ,0.0,1438.3,18.6 ,0,93.0,0.0,0.0
Poland,POL,2007,99,98,0,8.22076078847774,0,25170,0,0,75.2439024390244,79.7,71,10.39 ,0.0,1762.8879508646,19.2 ,0,99.0,93.0,98.0
Portugal,PRT,2007,97,95,0,5.57717917248513,0,3790,0,0,78.3219512195122,81.6,75.2,11.54 ,0.0,1704.62191218966,15.4 ,0,96.0,98.0,97.0
Romania,ROU,2007,96,97,0,4.63200147167361,0,10140,0,0,72.5658536585366,76.1,69.2,11.06 ,0.0,0.0,18.2 ,0,96.0,99.0,99.0
Serbia,SRB,2007,94,95,0,6.97140802590783,0,4980,0,0,73.6317073170732,76.5,70.9,9.42 ,0.0,0.0,16.8 ,0,93.0,98.0,99.0
Slovak Republic,SVK,2007,99,99,0,6.91955613375396,0,2970,0,0,74.2073170731707,78.1,70.5,0,0.0,1698.11460600293,0,0,0.0,0.0,0.0
Slovenia,SVN,2007,97,96,0,8.06690610708644,0,830,0,0,78.5609756097561,82.3,75,11.02 ,0.0,1593.0,15.6 ,0,97.0,0.0,0.0
Spain,ESP,2007,96,97,0,7.84225214140785,0,22850,0,0,80.8731707317073,84.1,77.8,11.05 ,0.0,1648.0,20.4 ,0,96.0,0.0,96.0
Sweden,SWE,2007,98,96,0,5.15298702610866,0,5280,0,0,80.9,83,78.9,6.98 ,0.0,1461.68670158821,15.6 ,0,98.0,23.0,0.0
Switzerland,CHE,2007,94,87,0,5.76603447086402,0,2520,0,0,81.7414634146342,84.2,79.4,10.44 ,0.0,1668.9,14.5 ,0,94.0,0.0,0.0
Turkiye,TUR,2007,96,96,70,4.10067601937393,0,25680,0,0,74.193,77.442,70.987,0,0.0,0.0,0,0,0.0,0.0,0.0
United Kingdom,GBR,2007,92,86,0,8.65098976862687,0,30950,0,0,79.4487804878049,81.6,77.4,0,0.0,1503.6437540545,0,0,0.0,0.0,0.0
Albania,ALB,2008,99,98,87,1.38431124871868,0,1130,86.9,0,77.653,80.429,75.163,5.56 ,0.0,0.0,16.1 ,0,99.0,99.0,99.0
Austria,AUT,2008,83,83,0,8.49967401978365,196.4,4000,2468.9,0,80.4317073170732,83.3,77.7,12.03 ,0.0,1506.0,15.8 ,0,83.0,0.0,83.0
Belgium,BEL,2008,99,93,0,9.98415218275303,80.9,5480,2471.1,0,79.6804878048781,82.6,76.9,10.51 ,0.0,1456.0,19.3 ,0,99.0,0.0,98.0
Bulgaria,BGR,2008,95,96,0,6.67862442701865,0,3810,508,0,72.9634146341463,76.6,69.5,10.73 ,0.0,0.0,21.1 ,0,96.0,98.0,96.0
Croatia,HRV,2008,96,96,0,5.04210834436146,0,3420,66.3,0,75.9121951219512,79.6,72.4,11.36 ,0.0,0.0,19.6 ,0,96.0,99.0,97.0
Cyprus,CYP,2008,97,87,0,7.77194936892333,0,360,256.1,0,78.981,81.198,76.813,12.03 ,0.0,0.0,18.4 ,0,97.0,0.0,93.0
Czechia,CZE,2008,99,97,0,11.3928281667189,4.7,4920,1459,0,76.9756097560976,80.1,74,13.65 ,0.0,0.0,22.7 ,0,99.0,99.0,99.0
Denmark,DNK,2008,88,87,0,9.12512913943557,33.5,5360,1629.6,0,78.4463414634146,80.7,76.3,10.7 ,0.0,1403.73856629921,15 ,0,88.0,0.0,0.0
Estonia,EST,2008,95,95,0,13.7612274555417,2.3,1340,47.6,0,73.7707317073171,79.2,68.6,16.61 ,0.0,1852.0,17.1 ,0,95.0,98.0,94.0
Finland,FIN,2008,99,97,0,10.6636072027363,67.9,6640,1003.2,0,79.5682926829268,83,76.3,10.26 ,0.0,1536.0,18.4 ,0,97.0,0.0,0.0
France,FRA,2008,99,89,0,5.56060392447916,1784.7,41960,16851.1,0,81.2146341463415,84.8,77.8,12.53 ,0.0,1443.46014976725,18.2 ,0,99.0,0.0,47.0
Germany,DEU,2008,96,97,0,9.61745304528633,6469.6,44390,19466.8,0,79.7365853658537,82.4,77.2,11.37 ,0.0,1371.27156962513,18 ,0,95.0,0.0,87.0
